0,Ardbeg 10 Year Old,46,70,49.5
1,Ledaig 18 Year Old,46.3,70,78.25
2,Lagavulin 16 Year Old,43,70,79.5
3,Bunnahabhain 12 Year Old,46.3,70,44.95
4,Macallan 12 Year Old Double Cask,40,70,74.95
5,Balvenie 12 Year Old DoubleWood,40,70,49.25
6,Octomore Edition 14.3,61.4,70,199
7,Glenfiddich 15 Year Old Solera,40,20,9.95
8,Octomore Edition 14.2,57.7,70,158
9,Macallan 12 Year Old,40,70,84.95
10,Lagavulin 12 Year Old,56.4,70,155
11,Meikle Toir 5 Year Old The Sherry,48,70,49.95
12,Ailsa Bay Sweet Smoke,48.9,70,62.95
13,Glendronach 15 Year Old Revival,46,70,78.5
14,Arran 10 Year Old,46,70,39.95
15,Macallan 18 Year Old,43,70,365
16,Personalised Highland Special Reserve Single Malt,48,70,59.95
17,Octomore Edition 14.1,59.6,70,146
18,Glenmorangie 18 Year Old,43,70,110
19,Macallan 18 Year Old,43,70,365
20,Deanston Virgin Oak,46.3,70,37.5
21,Secret Speyside (M) 2005,57.7,70,199
22,Port Charlotte 10 Year Old,50,70,54.25
23,Ardnamurchan Sherry Cask Release,50,70,66.75
24,Ardbeg 10 Year Old,46,70,49.5
25,Ledaig 18 Year Old,46.3,70,78.25
26,Lagavulin 16 Year Old,43,70,79.5
27,Bunnahabhain 12 Year Old,46.3,70,44.95
28,Macallan 12 Year Old Double Cask,40,70,74.95
29,Balvenie 12 Year Old DoubleWood,40,70,49.25
30,Octomore Edition 14.3,61.4,70,199
31,Glenfiddich 15 Year Old Solera,40,20,9.95
32,Octomore Edition 14.2,57.7,70,158
33,Macallan 12 Year Old,40,70,84.95
34,Lagavulin 12 Year Old,56.4,70,155
35,Meikle Toir 5 Year Old The Sherry,48,70,49.95
36,Ailsa Bay Sweet Smoke,48.9,70,62.95
37,Glendronach 15 Year Old Revival,46,70,78.5
38,Arran 10 Year Old,46,70,39.95
39,Macallan 18 Year Old,43,70,365
40,Personalised Highland Special Reserve Single Malt,48,70,59.95
41,Octomore Edition 14.1,59.6,70,146
42,Glenmorangie 18 Year Old,43,70,110
43,Macallan 18 Year Old,43,70,365
44,Deanston Virgin Oak,46.3,70,37.5
45,Secret Speyside (M) 2005,57.7,70,199
46,Port Charlotte 10 Year Old,50,70,54.25
47,Ardnamurchan Sherry Cask Release,50,70,66.75
48,Dalwhinnie 15 Year Old,43,70,49.5
49,Balvenie 14 Year Old,43,70,65.25
50,Ardbeg Uigeadail,54.2,70,66.95
51,Oban Bay Reserve,43,70,68.95
52,Caperdonich 18 Year Old Peated,48,70,140
53,Kilchoman Machir Bay,46,70,46.5
54,Macallan Rare Cask,43,70,300
55,Dalmore Port Wood Reserve,46.5,70,94.75
56,Glenfiddich 18 Year Old,40,70,82.75
57,Craigellachie 13 Year Old,46,70,51.75
58,Glenlivet 18 Year Old Batch Reserve,40,70,99.95
59,Glendronach 18 Year Old,46,70,165
60,Caol Ila 12 Year Old,43,70,49.95
61,Glenturret 12 Year Old,46,70,68.5
62,Cardhu Gold Reserve,40,70,43.95
63,Dalmore 12 Year Old,40,70,64.75
64,Isle of Raasay 2018,50.7,70,84.95
65,Isle of Raasay Single Malt Batch R-01.2,46.4,70,54.95
66,Clynelish 10 Year Old,57.5,70,165
67,Cardhu 2008,56,70,89.95
68,Tobermory 12 Year Old,46.3,70,44.5
69,Talisker 10 Year Old,45.8,70,49.5
70,Glenfarclas 15 Year Old,46,70,74.95
71,Meikle Toir 5 Year Old The Original,50,70,49.95
72,Clynelish Reserve,51.2,70,43.95
73,Meikle Toir 5 Year Old The Chinquapin,48,70,49.95
74,Ardbeg The Harpy's Tale 13 Year Old,46,70,141
75,Diageo Special Releases 2023 Set,57,60,120
76,Talisker Natural Cask Strength,59.7,70,120
77,Glenfiddich Project XX,47,70,52.5
78,Oban 14 Year Old,43,70,76
79,Macallan Classic Cut 2023,50.3,70,125
80,Diageo Special Releases 2023 Set,56.9,80,170
81,Oban 11 Year Old,58,70,140
82,Glenallachie 15 Year Old,46,70,71.5
83,Deanston 18 Year Old,46.3,70,89.95
84,Bunnahabhain 18 Year Old,46.3,70,125
85,Macallan 15 Year Old Double Cask,43,70,142
86,Deanston 12 Year Old,46.3,70,43.5
87,Glen Scotia 12 Year Old The Mermaid,54.1,70,89.95
88,Nc'nean Organic Single Malt,46,70,51.95
89,Lagavulin 9 Year Old,46,70,69.95
90,Glenfiddich 21 Year Old,40,70,175
91,Bowmore 15 Year Old,43,70,65.25
92,Royal Lochnagar 12 Year Old,40,70,44.95
93,Edradour 2013,46,70,59.95
94,Kilchoman Loch Gorm,46,70,74.75
95,Old Pulteney 15 Year Old,46,70,74.5
96,Dalmore Port Wood Reserve,46.5,70,76.5
97,Aberlour 12 Year Old,48,70,54.95
98,Laphroaig 10 Year Old,40,70,37.95
99,Glendronach 12 Year Old Original,43,70,51.5
100,Glenfiddich 15 Year Old Solera,40,70,48.95
101,Glenfarclas 10 Year Old,40,70,41.25
102,Ben Nevis 10 Year Old,46,70,57.95
103,Bowmore 22 Year Old,51,70,430
104,Bunnahabhain Aonadh 10 Year Old,56.2,70,110
105,Balvenie 21 Year Old,48.1,70,350
106,Longmorn 18 Year Old,48,70,103
107,Mortlach 15 Year Old,46,70,88.95
108,Port Askaig 100° Proof,57.1,70,57.95
109,Ledaig 10 Year Old,46.3,70,45.5
110,Bowmore 12 Year Old,40,70,37.75
111,Dalmore 15 Year Old,40,70,108
112,Cu Bocan 15 Year Old,50,70,91.75
113,Glenallachie 10 Year Old Cask Strength Batch 10,58.6,70,66.75
114,Mortlach 2012,48.2,70,68.5
115,Personalised 10 Year Old Islay Scotch Whisky,49.6,70,79.95
116,Balvenie 12 Year Old,43,70,49.95
117,Bruichladdich Classic Laddie,50,70,49.95
118,Edradour 12 Year Old,46,70,64.5
119,Laphroaig Quarter Cask,48,70,43.95
120,AnCnoc 12 Year Old,40,70,34.5
121,Lagg Corriecravie,55,70,64.95
122,Deanston Virgin Oak Cask Strength,58.5,70,57.95
123,Talisker x Parley Wilder Seas,48.6,70,73.75
124,Bunnahabhain Moine 2013,59.5,70,87.25
125,Laphroaig 10 Year Old Sherry Oak Finish,48,70,59.25
126,Lagavulin Distillers Edition,43,70,91.95
127,Aberlour 16 Year Old,40,70,110
128,Auchentoshan Three Wood,43,70,49.95
129,Auchentoshan 12 Year Old,40,70,45.25
130,Torabhaig Allt Glean Batch Strength,61.1,70,73.95
131,Kildalton 2008,60,70,199
132,Macallan The Harmony Collection Inspired by Intense Arabica,43,70,199
133,Highland Park Cask Strength,64.1,70,51.25
134,Glenfarclas 15 Year Old,54.2,70,89.95
135,Craigellachie 13 Year Old,46,70,52.75
136,Arran Quarter Cask,56.2,70,54.75
