,payment_id,date,customer_id,employee_id,product_id,price
0,856853,1990-01-02,241864,159,1138,79.95
1,787743,1990-01-03,420070,1384,2589,139.0
2,284962,1990-01-03,471237,3302,3417,399.0
3,439094,1990-01-05,865401,2524,100,39.95
4,903663,1990-01-05,148627,3396,669,34.95
5,994379,1990-01-07,576870,1453,3674,155.0
6,96154,1990-01-07,932343,1213,1945,62.25
7,1847,1990-01-08,394216,2182,3834,52.95
8,582565,1990-01-11,766035,3561,1479,250.0
9,581467,1990-01-11,166885,2843,649,66.25
10,433253,1990-01-13,549466,2198,2051,50.95
11,855525,1990-01-13,396969,672,3844,7.75
12,718858,1990-01-15,41520,159,1478,65.5
13,708645,1990-01-17,484339,974,766,201.0
14,683737,1990-01-17,327199,2559,2443,750.0
15,181075,1990-01-19,825752,984,2173,35.25
16,714186,1990-01-21,88707,3417,1695,76.95
17,168592,1990-01-21,574456,1132,34,44.75
18,884564,1990-01-21,211972,2336,598,5.75
19,121556,1990-01-22,493347,1416,4278,49.95
20,823433,1990-01-23,559597,3146,1192,250.0
21,946450,1990-01-24,925716,2336,1127,8.5
22,303255,1990-01-24,33572,974,1885,210.0
23,276002,1990-01-26,490747,3636,3146,6.25
24,375054,1990-01-26,407739,2075,3690,5.95
25,350270,1990-01-26,129829,2163,2575,13.75
26,660383,1990-01-27,335100,2433,2286,51.95
27,772745,1990-01-28,893312,1004,4387,73.95
28,534750,1990-01-28,255621,2988,3707,91.95
29,368803,1990-01-29,27182,2988,843,55.95
30,859813,1990-01-30,963516,3302,3290,2.25
31,551239,1990-02-02,459917,3531,1971,77.75
32,491460,1990-02-02,220285,1132,1696,3.95
33,616027,1990-02-02,261073,1055,399,152.0
34,830070,1990-02-02,313099,2482,1441,43.5
35,548751,1990-02-05,908877,2843,1229,62.5
36,831450,1990-02-05,619300,230,1505,91.5
37,188559,1990-02-05,995822,1453,124,99.95
38,345948,1990-02-06,141237,2012,2147,550.0
39,823754,1990-02-06,662527,2306,1740,192.0
40,439872,1990-02-06,796593,1695,4071,110.0
41,410882,1990-02-08,350374,2176,2522,49.95
42,751888,1990-02-08,816533,3839,1697,94.95
43,624925,1990-02-09,253561,1975,1129,10000.0
44,224987,1990-02-10,83916,3302,3671,75.75
45,905775,1990-02-11,809346,2198,38,39.95
46,219504,1990-02-12,840649,2843,2311,136.0
47,117063,1990-02-12,830621,1132,4613,235.0
48,868299,1990-02-13,726215,1004,2886,50.5
49,78567,1990-02-14,416330,2075,3523,54.95
50,832003,1990-02-17,905634,595,813,8.95
51,920433,1990-02-17,516407,2988,2858,64.95
52,369575,1990-02-17,309914,409,1262,35.5
