,Unnamed: 0,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price,product_id
0,0,Ardbeg 10 Year Old,46.0,70.0,49.5,1490
1,1,Ledaig 18 Year Old,46.3,70.0,78.25,3079
2,2,Lagavulin 16 Year Old,43.0,70.0,79.5,278
3,3,Bunnahabhain 12 Year Old,46.3,70.0,44.95,1837
4,4,Macallan 12 Year Old Double Cask,40.0,70.0,74.95,2413
5,5,Balvenie 12 Year Old DoubleWood,40.0,70.0,49.25,590
6,6,Octomore Edition 14.3,61.4,70.0,199.0,2538
7,7,Glenfiddich 15 Year Old Solera,40.0,20.0,9.95,2375
8,8,Octomore Edition 14.2,57.7,70.0,158.0,3229
9,9,Macallan 12 Year Old,40.0,70.0,84.95,3284
10,10,Lagavulin 12 Year Old,56.4,70.0,155.0,890
11,11,Meikle Toir 5 Year Old The Sherry,48.0,70.0,49.95,3431
12,12,Ailsa Bay Sweet Smoke,48.9,70.0,62.95,1580
13,13,Glendronach 15 Year Old Revival,46.0,70.0,78.5,1359
14,14,Arran 10 Year Old,46.0,70.0,39.95,3898
15,15,Macallan 18 Year Old,43.0,70.0,365.0,3155
16,16,Personalised Highland Special Reserve Single Malt,48.0,70.0,59.95,670
17,17,Octomore Edition 14.1,59.6,70.0,146.0,2878
18,18,Glenmorangie 18 Year Old,43.0,70.0,110.0,229
19,19,Macallan 18 Year Old,43.0,70.0,365.0,614
20,20,Deanston Virgin Oak,46.3,70.0,37.5,3637
21,21,Secret Speyside (M) 2005,57.7,70.0,199.0,287
22,22,Port Charlotte 10 Year Old,50.0,70.0,54.25,4171
23,23,Ardnamurchan Sherry Cask Release,50.0,70.0,66.75,1481
24,24,Ardbeg 10 Year Old,46.0,70.0,49.5,4365
25,25,Ledaig 18 Year Old,46.3,70.0,78.25,4350
26,26,Lagavulin 16 Year Old,43.0,70.0,79.5,2235
27,27,Bunnahabhain 12 Year Old,46.3,70.0,44.95,777
28,28,Macallan 12 Year Old Double Cask,40.0,70.0,74.95,1211
29,29,Balvenie 12 Year Old DoubleWood,40.0,70.0,49.25,4017
30,30,Octomore Edition 14.3,61.4,70.0,199.0,2595
31,31,Glenfiddich 15 Year Old Solera,40.0,20.0,9.95,348
32,32,Octomore Edition 14.2,57.7,70.0,158.0,192
33,33,Macallan 12 Year Old,40.0,70.0,84.95,2953
34,34,Lagavulin 12 Year Old,56.4,70.0,155.0,1017
35,35,Meikle Toir 5 Year Old The Sherry,48.0,70.0,49.95,4642
36,36,Ailsa Bay Sweet Smoke,48.9,70.0,62.95,456
37,37,Glendronach 15 Year Old Revival,46.0,70.0,78.5,1001
38,38,Arran 10 Year Old,46.0,70.0,39.95,3280
39,39,Macallan 18 Year Old,43.0,70.0,365.0,1612
40,40,Personalised Highland Special Reserve Single Malt,48.0,70.0,59.95,2855
41,41,Octomore Edition 14.1,59.6,70.0,146.0,708
42,42,Glenmorangie 18 Year Old,43.0,70.0,110.0,4532
43,43,Macallan 18 Year Old,43.0,70.0,365.0,3250
44,44,Deanston Virgin Oak,46.3,70.0,37.5,163
45,45,Secret Speyside (M) 2005,57.7,70.0,199.0,2082
46,46,Port Charlotte 10 Year Old,50.0,70.0,54.25,284
47,47,Ardnamurchan Sherry Cask Release,50.0,70.0,66.75,3171
48,48,Dalwhinnie 15 Year Old,43.0,70.0,49.5,694
49,49,Balvenie 14 Year Old,43.0,70.0,65.25,3384
50,50,Ardbeg Uigeadail,54.2,70.0,66.95,7
51,51,Oban Bay Reserve,43.0,70.0,68.95,784
52,52,Caperdonich 18 Year Old Peated,48.0,70.0,140.0,3756
53,53,Kilchoman Machir Bay,46.0,70.0,46.5,2319
54,54,Macallan Rare Cask,43.0,70.0,300.0,1218
55,55,Dalmore Port Wood Reserve,46.5,70.0,94.75,4520
56,56,Glenfiddich 18 Year Old,40.0,70.0,82.75,3543
57,57,Craigellachie 13 Year Old,46.0,70.0,51.75,198
58,58,Glenlivet 18 Year Old Batch Reserve,40.0,70.0,99.95,3704
59,59,Glendronach 18 Year Old,46.0,70.0,165.0,2944
60,60,Caol Ila 12 Year Old,43.0,70.0,49.95,3796
61,61,Glenturret 12 Year Old,46.0,70.0,68.5,299
62,62,Cardhu Gold Reserve,40.0,70.0,43.95,2860
63,63,Dalmore 12 Year Old,40.0,70.0,64.75,735
64,64,Isle of Raasay 2018,50.7,70.0,84.95,316
65,65,Isle of Raasay Single Malt Batch R-01.2,46.4,70.0,54.95,2180
66,66,Clynelish 10 Year Old,57.5,70.0,165.0,3933
67,67,Cardhu 2008,56.0,70.0,89.95,4035
68,68,Tobermory 12 Year Old,46.3,70.0,44.5,118
69,69,Talisker 10 Year Old,45.8,70.0,49.5,2008
70,70,Glenfarclas 15 Year Old,46.0,70.0,74.95,3924
71,71,Meikle Toir 5 Year Old The Original,50.0,70.0,49.95,2249
72,72,Clynelish Reserve,51.2,70.0,43.95,859
73,73,Meikle Toir 5 Year Old The Chinquapin,48.0,70.0,49.95,2942
74,74,Ardbeg The Harpy's Tale 13 Year Old,46.0,70.0,141.0,3928
75,75,Diageo Special Releases 2023 Set,57.0,60.0,120.0,1675
76,76,Talisker Natural Cask Strength,59.7,70.0,120.0,1064
77,77,Glenfiddich Project XX,47.0,70.0,52.5,3010
78,78,Oban 14 Year Old,43.0,70.0,76.0,3330
79,79,Macallan Classic Cut 2023,50.3,70.0,125.0,3001
